in s,C1 in V
-3.0324117,0.8935712
-3.0323659,0.8722089
-3.0323201,0.8505414
-3.0322743,0.8293317
-3.0322285,0.8094952
-3.0321828,0.7893536
-3.032137,0.7686017
-3.0320912,0.7493756
-3.0320454,0.7307599
-3.0319996,0.7135175
-3.0319538,0.6950543
-3.031908,0.6784222
-3.0318623,0.6627057
-3.0318165,0.6465314
-3.0317707,0.6305096
-3.0317249,0.6152509
-3.0316791,0.6006024
-3.0316333,0.5861066
-3.0315876,0.5713055
-3.0315418,0.5569623
-3.031496,0.5424664
-3.0314502,0.5282758
-3.0314044,0.5140851
-3.0313586,0.5009625
-3.0313129,0.4876874
-3.0312671,0.4725812
-3.0312213,0.457475
-3.0311755,0.4438947
-3.0311297,0.428941
-3.0310839,0.4129193
-3.0310382,0.3961346
-3.0309924,0.3804181
-3.0309466,0.3636334
-3.0309008,0.3466962
-3.030855,0.328996
-3.0308092,0.3109906
-3.0307634,0.2917645
-3.0307177,0.2733014
-3.0306719,0.2536176
-3.0306261,0.232713
-3.0305803,0.212724
-3.0305345,0.1905988
-3.0304887,0.1678632
-3.030443,0.1452802
-3.0303972,0.122392
-3.0303514,0.09904602
-3.0303056,0.07478455
-3.0302598,0.05128601
-3.030214,0.02900818
-3.0301683,0.006882935
-3.0301225,-0.0166156
-3.0300767,-0.03919861
-3.0300309,-0.06300232
-3.0299851,-0.08726379
-3.0299393,-0.1112201
-3.0298936,-0.1331927
-3.0298478,-0.1559283
-3.029802,-0.1791217
-3.0297562,-0.2029254
-3.0297104,-0.2253558
-3.0296646,-0.2483966
-3.0296188,-0.2725055
-3.0295731,-0.2949359
-3.0295273,-0.3182819
-3.0294815,-0.3425433
-3.0294357,-0.3661945
-3.0293899,-0.3886249
-3.0293441,-0.409682
-3.0292984,-0.4316547
-3.0292526,-0.4536273
-3.0292068,-0.4759052
-3.029161,-0.4975726
-3.0291152,-0.5177142
-3.0290694,-0.5384662
-3.0290237,-0.5610492
-3.0289779,-0.5821063
-3.0289321,-0.6016376
-3.0288863,-0.6225421
-3.0288405,-0.6429889
-3.0287947,-0.6634357
-3.028749,-0.6828143
-3.0287032,-0.7028033
-3.0286574,-0.7223346
-3.0286116,-0.7412555
-3.0285658,-0.7598712
-3.02852,-0.7772662
-3.0284742,-0.7946613
-3.0284285,-0.8119037
-3.0283827,-0.8285358
-3.0283369,-0.8442523
-3.0282911,-0.8596637
-3.0282453,-0.8749225
-3.0281995,-0.8901813
-3.0281538,-0.9049823
-3.028108,-0.9196307
-3.0280622,-0.9338214
-3.0280164,-0.9477069
-3.0279706,-0.9614398
